JR北上線,https://ekimemo.wiki.fc2.com/wiki/JR%E5%8C%97%E4%B8%8A%E7%B7%9A
JR田沢湖線,https://ekimemo.wiki.fc2.com/wiki/JR%E7%94%B0%E6%B2%A2%E6%B9%96%E7%B7%9A
JR花輪線(十和田八幡平四季彩ライン),https://ekimemo.wiki.fc2.com/wiki/JR%E8%8A%B1%E8%BC%AA%E7%B7%9A%28%E5%8D%81%E5%92%8C%E7%94%B0%E5%85%AB%E5%B9%A1%E5%B9%B3%E5%9B%9B%E5%AD%A3%E5%BD%A9%E3%83%A9%E3%82%A4%E3%83%B3%29
JR山田線,https://ekimemo.wiki.fc2.com/wiki/JR%E5%B1%B1%E7%94%B0%E7%B7%9A
JR羽越本線,https://ekimemo.wiki.fc2.com/wiki/JR%E7%BE%BD%E8%B6%8A%E6%9C%AC%E7%B7%9A
JR男鹿線,https://ekimemo.wiki.fc2.com/wiki/JR%E7%94%B7%E9%B9%BF%E7%B7%9A
JR奥羽本線(山形線)(福島～新庄),https://ekimemo.wiki.fc2.com/wiki/JR%E5%A5%A5%E7%BE%BD%E6%9C%AC%E7%B7%9A%28%E5%B1%B1%E5%BD%A2%E7%B7%9A%29%28%E7%A6%8F%E5%B3%B6%EF%BD%9E%E6%96%B0%E5%BA%84%29
JR仙山線,https://ekimemo.wiki.fc2.com/wiki/JR%E4%BB%99%E5%B1%B1%E7%B7%9A
JR左沢線(フルーツライン左沢線),https://ekimemo.wiki.fc2.com/wiki/JR%E5%B7%A6%E6%B2%A2%E7%B7%9A%28%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%83%A9%E3%82%A4%E3%83%B3%E5%B7%A6%E6%B2%A2%E7%B7%9A%29
JR米坂線,https://ekimemo.wiki.fc2.com/wiki/JR%E7%B1%B3%E5%9D%82%E7%B7%9A
JR陸羽西線(奥の細道最上川ライン),https://ekimemo.wiki.fc2.com/wiki/JR%E9%99%B8%E7%BE%BD%E8%A5%BF%E7%B7%9A%28%E5%A5%A5%E3%81%AE%E7%B4%B0%E9%81%93%E6%9C%80%E4%B8%8A%E5%B7%9D%E3%83%A9%E3%82%A4%E3%83%B3%29
JR陸羽東線(奥の細道湯けむりライン),https://ekimemo.wiki.fc2.com/wiki/JR%E9%99%B8%E7%BE%BD%E6%9D%B1%E7%B7%9A%28%E5%A5%A5%E3%81%AE%E7%B4%B0%E9%81%93%E6%B9%AF%E3%81%91%E3%82%80%E3%82%8A%E3%83%A9%E3%82%A4%E3%83%B3%29
JR仙石線,https://ekimemo.wiki.fc2.com/wiki/JR%E4%BB%99%E7%9F%B3%E7%B7%9A
JR石巻線,https://ekimemo.wiki.fc2.com/wiki/JR%E7%9F%B3%E5%B7%BB%E7%B7%9A
JR気仙沼線,https://ekimemo.wiki.fc2.com/wiki/JR%E6%B0%97%E4%BB%99%E6%B2%BC%E7%B7%9A
JR磐越西線(郡山～会津若松),https://ekimemo.wiki.fc2.com/wiki/JR%E7%A3%90%E8%B6%8A%E8%A5%BF%E7%B7%9A%28%E9%83%A1%E5%B1%B1%EF%BD%9E%E4%BC%9A%E6%B4%A5%E8%8B%A5%E6%9D%BE%29
JR磐越西線(森と水とロマンの鉄道),https://ekimemo.wiki.fc2.com/wiki/JR%E7%A3%90%E8%B6%8A%E8%A5%BF%E7%B7%9A%28%E6%A3%AE%E3%81%A8%E6%B0%B4%E3%81%A8%E3%83%AD%E3%83%9E%E3%83%B3%E3%81%AE%E9%89%84%E9%81%93%29
JR只見線,https://ekimemo.wiki.fc2.com/wiki/JR%E5%8F%AA%E8%A6%8B%E7%B7%9A
JR磐越東線(ゆうゆうあぶくまライン),https://ekimemo.wiki.fc2.com/wiki/JR%E7%A3%90%E8%B6%8A%E6%9D%B1%E7%B7%9A%28%E3%82%86%E3%81%86%E3%82%86%E3%81%86%E3%81%82%E3%81%B6%E3%81%8F%E3%81%BE%E3%83%A9%E3%82%A4%E3%83%B3%29
JR常磐線(取手～いわき),https://ekimemo.wiki.fc2.com/wiki/JR%E5%B8%B8%E7%A3%90%E7%B7%9A%28%E5%8F%96%E6%89%8B%EF%BD%9E%E3%81%84%E3%82%8F%E3%81%8D%29
JR常磐線(いわき～仙台),https://ekimemo.wiki.fc2.com/wiki/JR%E5%B8%B8%E7%A3%90%E7%B7%9A%28%E3%81%84%E3%82%8F%E3%81%8D%EF%BD%9E%E4%BB%99%E5%8F%B0%29
JR東北本線(黒磯～利府・盛岡),https://ekimemo.wiki.fc2.com/wiki/JR%E6%9D%B1%E5%8C%97%E6%9C%AC%E7%B7%9A%28%E9%BB%92%E7%A3%AF%EF%BD%9E%E5%88%A9%E5%BA%9C%E3%83%BB%E7%9B%9B%E5%B2%A1%29
JR東海道本線(東京～熱海),https://ekimemo.wiki.fc2.com/wiki/JR%E6%9D%B1%E6%B5%B7%E9%81%93%E6%9C%AC%E7%B7%9A%28%E6%9D%B1%E4%BA%AC%EF%BD%9E%E7%86%B1%E6%B5%B7%29
JR山手線,https://ekimemo.wiki.fc2.com/wiki/JR%E5%B1%B1%E6%89%8B%E7%B7%9A
JR南武線,https://ekimemo.wiki.fc2.com/wiki/JR%E5%8D%97%E6%AD%A6%E7%B7%9A
JR鶴見線,https://ekimemo.wiki.fc2.com/wiki/JR%E9%B6%B4%E8%A6%8B%E7%B7%9A
JR武蔵野線,https://ekimemo.wiki.fc2.com/wiki/JR%E6%AD%A6%E8%94%B5%E9%87%8E%E7%B7%9A
